camp,site,taxon,count
BA,BA4_SS5,Onthophagus aff. anthracinus,0
BA,BA4_SS5,Onthophagus aff. belhorinus,0
BA,BA4_SS5,Onthophagus breviconus,0
BA,BA4_SS5,Onthophagus cyanellus,4
BA,BA4_SS5,Onthophagus longimanus,0
BA,BA4_SS5,Onthophagus petenensis,0
BA,BA4_SS5,Onthophagus rhinolophus,0
BA,BA4_SS5,Onthophagus sp.nov. aff. subcancer,0
BA,BA4_SS5,Phanaeus endymion,0
BC,BC1_SS1,Copris laeviceps,0
BC,BC1_SS1,Copris lugubris,0
BC,BC1_SS1,Copris nubilosus,2
BC,BC1_SS1,Copris sp.nov.,0
BC,BC1_SS1,Dichotomius annae,0
BC,BC1_SS1,Dichotomius satanas,1
BC,BC1_SS1,Eurysternus foedus,0
BC,BC1_SS1,Eurysternus magnus,0
BC,BC1_SS1,Eurysternus mexicanus,0
BC,BC1_SS1,Eurysternus obliteratus,0
BC,BC1_SS1,Onthophagus aff. anthracinus,0
BC,BC1_SS1,Onthophagus aff. belhorinus,0
BC,BC1_SS1,Onthophagus breviconus,0
BC,BC1_SS1,Onthophagus cyanellus,1
BC,BC1_SS1,Onthophagus longimanus,0
BC,BC1_SS1,Onthophagus petenensis,0
BC,BC1_SS1,Onthophagus rhinolophus,0
BC,BC1_SS1,Onthophagus sp.nov. aff. subcancer,0
BC,BC1_SS1,Phanaeus endymion,0
BC,BC1_SS2,Copris laeviceps,0
BC,BC1_SS2,Copris lugubris,0
BC,BC1_SS2,Copris nubilosus,38
BC,BC1_SS2,Copris sp.nov.,0
BC,BC1_SS2,Dichotomius annae,0
BC,BC1_SS2,Dichotomius satanas,0
BC,BC1_SS2,Eurysternus foedus,0
BC,BC1_SS2,Eurysternus magnus,0
BC,BC1_SS2,Eurysternus mexicanus,0
BC,BC1_SS2,Eurysternus obliteratus,0
BC,BC1_SS2,Onthophagus aff. anthracinus,0
BC,BC1_SS2,Onthophagus aff. belhorinus,0
